
INFO:2023-03-29 15:11:11,250:Client added: ID: 22222222
INFO:2023-03-29 15:15:16,048:Client deleted: ID: 22222222
INFO:2023-03-29 15:24:45,855:Client edited: ID: 11111111
INFO:2023-03-29 15:26:14,488:Client edited: ID: 11111111
INFO:2023-03-29 15:26:40,287:Client edited: ID: 12121212
INFO:2023-03-29 15:29:17,167:Car added: ID: 12121212
INFO:2023-03-29 15:36:59,998:Car deleted: ID: 12121212
INFO:2023-03-29 15:44:13,694:Car edited: ID: 333333333
INFO:2023-03-29 15:48:34,218:Car edited: ID: 33333333
INFO:2023-03-29 16:35:11,063:New Order added: ID: 3
INFO:2023-03-29 16:45:19,162:Order edited: ID: 3
INFO:2023-03-29 16:45:42,778:Order deleted: ID: 3
INFO:2023-03-29 16:46:56,669:New Order added: ID: 4
INFO:2023-03-29 16:48:01,462:New Order added: ID: 5
